,geo_precision,count,boundary,lon,lat
9615,1,3,AFG.19.6_1,68.9068,36.7725
9616,1,1,AFG.19.6_1,68.9085,36.7053
9617,1,1,AFG.19.6_1,68.917,36.6941
9624,1,1,AFG.19.6_1,68.9421,36.6746
9532,1,1,AFG.19.7_1,68.4721,37.0429
9534,1,1,AFG.19.7_1,68.4748,36.9777
9540,1,1,AFG.19.7_1,68.5206,36.9654
9548,1,2,AFG.19.7_1,68.57,36.97
9268,1,1,AFG.2.5_1,63.3333,35.5537
9269,1,1,AFG.2.5_1,63.3704,35.5216
9265,1,2,AFG.2.7_1,63.1042,34.7523
9266,1,6,AFG.2.7_1,63.1289,34.9874
9800,1,1,AFG.20.1_1,70.2616,34.723
9803,1,3,AFG.20.1_1,70.2797,34.716
9806,1,2,AFG.20.1_1,70.2846,34.7411
9809,1,3,AFG.20.1_1,70.2905,34.729
9811,1,1,AFG.20.1_1,70.2986,34.7401
9814,1,1,AFG.20.1_1,70.312,34.7512
9816,1,1,AFG.20.1_1,70.3149,34.7631
9823,1,1,AFG.20.1_1,70.3462,34.8079
9837,1,1,AFG.20.1_1,70.423,34.7296
9841,1,1,AFG.20.1_1,70.4536,34.8633
9848,1,3,AFG.20.1_1,70.5541,34.8926
9770,1,3,AFG.20.2_1,70.1027,34.7539
9771,1,1,AFG.20.2_1,70.1031,34.8054
9774,1,1,AFG.20.2_1,70.1101,34.8812
9775,1,2,AFG.20.2_1,70.1206,34.7416
9768,1,1,AFG.20.3_1,70.0861,34.9396
9769,1,1,AFG.20.3_1,70.0952,34.9168
9777,1,1,AFG.20.4_1,70.1537,34.7038
9779,1,1,AFG.20.4_1,70.1594,34.6958
9784,1,1,AFG.20.4_1,70.1926,34.6724
9786,1,38,AFG.20.4_1,70.2094,34.6714
9789,1,2,AFG.20.4_1,70.2168,34.6619
9791,1,1,AFG.20.4_1,70.2357,34.6894
9794,1,5,AFG.20.4_1,70.2396,34.7045
9812,1,1,AFG.20.4_1,70.3002,34.6523
9820,1,1,AFG.20.4_1,70.329,34.6794
9756,1,1,AFG.20.5_1,69.9911,34.5138
9762,1,2,AFG.20.5_1,70.0126,34.5188
9763,1,1,AFG.20.5_1,70.0322,34.5125
9798,1,1,AFG.20.5_1,70.2547,34.5268
9805,1,1,AFG.20.5_1,70.2827,34.5249
9808,1,1,AFG.20.5_1,70.2897,34.5318
9828,1,1,AFG.20.5_1,70.379,34.6477
9592,1,2,AFG.21.1_1,68.831,33.8483
9604,1,1,AFG.21.1_1,68.869,33.9484
9609,1,2,AFG.21.1_1,68.8938,33.9475
9619,1,3,AFG.21.1_1,68.925,33.9623
9620,1,1,AFG.21.1_1,68.9322,33.9443
9629,1,1,AFG.21.1_1,68.961,33.9213
9632,1,2,AFG.21.1_1,68.9833,33.9539
9642,1,1,AFG.21.1_1,69.0259,33.963
9608,1,1,AFG.21.2_1,68.8929,33.7127
9621,1,1,AFG.21.2_1,68.9361,33.8041
9623,1,1,AFG.21.2_1,68.9375,33.7971
9649,1,5,AFG.21.4_1,69.0766,34.144
9650,1,1,AFG.21.4_1,69.0772,34.1742
9652,1,1,AFG.21.4_1,69.09,34.1577
9655,1,1,AFG.21.4_1,69.0999,34.2118
9660,1,2,AFG.21.4_1,69.1151,34.2236
9664,1,2,AFG.21.4_1,69.1352,34.2442
9666,1,5,AFG.21.4_1,69.1393,34.1203
9667,1,2,AFG.21.4_1,69.1418,34.2716
9682,1,10,AFG.21.4_1,69.2062,34.1377
9693,1,1,AFG.21.4_1,69.2521,34.2072
9610,1,1,AFG.21.5_1,68.8986,34.0997
9631,1,1,AFG.21.5_1,68.9792,34.0791
9635,1,1,AFG.21.5_1,68.9937,34.0502
9636,1,1,AFG.21.5_1,69.0088,34.056
9639,1,4,AFG.21.5_1,69.0201,34.0672
9641,1,66,AFG.21.5_1,69.0227,33.9953
9648,1,7,AFG.21.5_1,69.0605,34.0904
9653,1,1,AFG.21.5_1,69.0931,33.803
9654,1,1,AFG.21.5_1,69.0932,33.803
9689,1,1,AFG.21.5_1,69.2317,33.8933
9849,1,2,AFG.22.1_1,70.5588,34.0769
9853,1,2,AFG.22.1_1,70.5779,34.079
9855,1,3,AFG.22.1_1,70.5857,34.0519
9857,1,1,AFG.22.1_1,70.604,34.045
9858,1,1,AFG.22.1_1,70.6075,34.0621
9859,1,1,AFG.22.1_1,70.6075,34.0622
9860,1,1,AFG.22.1_1,70.6243,34.0336
9861,1,1,AFG.22.1_1,70.626,34.0166
9863,1,1,AFG.22.1_1,70.6308,34.0648
9866,1,1,AFG.22.1_1,70.6638,34.0655
9867,1,1,AFG.22.1_1,70.6668,34.1087
9868,1,1,AFG.22.1_1,70.6914,34.089
9870,1,2,AFG.22.1_1,70.7151,34.034
9871,1,1,AFG.22.1_1,70.7255,34.1768
9875,1,1,AFG.22.1_1,70.7583,34.0184
9876,1,3,AFG.22.1_1,70.7634,34.0639
9877,1,5,AFG.22.1_1,70.7645,34.0689
9878,1,1,AFG.22.1_1,70.7647,34.0026
9872,1,1,AFG.22.10_1,70.7265,34.499
9772,1,1,AFG.22.11_1,70.1036,34.2058
9773,1,1,AFG.22.11_1,70.1073,34.2916
9776,1,1,AFG.22.11_1,70.1217,34.2039
9778,1,2,AFG.22.11_1,70.1542,34.1559
9780,1,10,AFG.22.11_1,70.1622,34.1996
9781,1,6,AFG.22.11_1,70.1713,34.1805
9782,1,5,AFG.22.11_1,70.1827,34.2409
9783,1,1,AFG.22.11_1,70.1886,34.1946
9787,1,3,AFG.22.11_1,70.2104,34.3184
9793,1,6,AFG.22.11_1,70.2391,34.3574
9852,1,6,AFG.22.12_1,70.5647,34.5129
