,geo_precision,count,boundary,lon,lat
590,1,6,CAN.3.2_1,-97.1667,49.8833
606,1,1,CAN.4.6_1,-65.5167,45.7167
605,1,1,CAN.4.7_1,-68.3333,47.3667
607,1,2,CAN.4.8_1,-65.4333,47.0333
608,1,1,CAN.4.8_1,-65.1833,47.0333
611,1,1,CAN.5.1_1,-60.1833,53.3333
615,1,2,CAN.5.3_1,-52.85,47.6333
612,1,2,CAN.5.5_1,-59.15,47.5667
613,1,1,CAN.5.6_1,-58.5667,48.55
614,1,3,CAN.5.7_1,-57.9333,48.95
610,1,1,CAN.7.4_1,-63.2833,45.25
588,1,2,CAN.8.1_1,-100,75
595,1,1,CAN.8.1_1,-84.7833,71.2
591,1,1,CAN.8.2_1,-94.05,61.1167
592,1,1,CAN.8.2_1,-92.0833,62.8167
594,1,4,CAN.8.2_1,-85,65.8333
596,1,1,CAN.8.2_1,-83.6667,66.3333
593,1,1,CAN.8.3_1,-89.8167,68.5333
597,1,1,CAN.9.1_1,-82.65,46.3833
600,1,14,CAN.9.35_1,-75.7,45.4167
598,1,1,CAN.9.38_1,-79.5833,43.55
599,1,32,CAN.9.50_1,-79.4167,43.6667
940,4,15,CHE,8,47
939,1,1,CHE.10.4_1,9.28458,46.8371
936,1,1,CHE.23.2_1,7.30372,46.2253
938,1,1,CHE.26.13_1,8.55,47.3667
937,1,2,CHE.6.22_1,7.46667,46.9167
935,1,6,CHE.8.1_1,6.14811,46.1956
639,4,3,CHL,-71,-30
638,1,4,CHL.14.5_1,-70.6667,-33.45
637,1,3,CHL.16.1_1,-109.367,-27.1167
1763,4,95,CHN,105,35
1754,1,1,CHN.1.11_1,118.089,29.6929
1748,1,7,CHN.1.7_1,115.192,32.9583
1747,1,1,CHN.13.12_1,114.267,30.5833
1741,1,1,CHN.13.17_1,110.583,31.0167
1742,1,3,CHN.14.11_1,111.496,25.5797
1745,1,1,CHN.14.3_1,113.514,25.4439
1757,1,1,CHN.15.11_1,120.18,32.9274
1755,1,1,CHN.15.4_1,118.871,31.5549
1758,1,3,CHN.15.7_1,120.991,31.546
1751,1,32,CHN.16.1_1,116.274,27.7481
1750,1,1,CHN.16.5_1,115.929,29.289
1762,1,2,CHN.17.9_1,129.336,42.7683
1760,1,1,CHN.18.4_1,121.602,38.9122
1761,1,2,CHN.18.9_1,121.893,41.4917
1752,1,37,CHN.2.1_1,116.388,39.9289
1753,1,1,CHN.2.1_1,116.391,39.9044
1740,1,1,CHN.22.8_1,108.455,34.3839
1759,1,1,CHN.24.1_1,121.458,31.2222
1746,1,4,CHN.25.2_1,113.619,40.0017
1743,1,2,CHN.25.5_1,111.783,36.4667
1737,1,1,CHN.26.12_1,105.138,30.8111
1738,1,6,CHN.26.13_1,106.542,31.4213
1734,1,1,CHN.28.1_1,82.6511,41.4389
1735,1,1,CHN.29.1_1,96.2,31.1
1736,1,2,CHN.30.7_1,102.718,25.0389
1756,1,2,CHN.31.7_1,118.985,28.8771
1749,1,1,CHN.6.13_1,115.642,22.9459
1744,1,1,CHN.6.7_1,113.093,22.4045
1739,1,1,CHN.8.3_1,106.717,26.5833
974,4,2,CMR,12,6
973,1,2,CMR.4.2_1,14.2277,12.3731
972,1,1,CMR.6.3_1,10.6667,6.63333
971,1,1,CMR.9.6_1,8.9348,4.5304
1024,1,1,COD.10.1_1,15.315,-4.32972
1025,1,1,COD.22.9_1,28,-2.5
1026,1,3,COD.6.5_1,29.9667,1.85
1016,4,19,COG,15,-1
1015,1,8,COG.2.1_1,15.2847,-4.25917
573,1,2,COK,-157.958,-9.00833
682,4,13,COL,-72,4
679,1,1,COL.14.10_1,-74.4414,3.97889
681,1,13,COL.14.79_1,-74.0833,4.6
680,1,2,COL.14.85_1,-74.2168,4.57937
677,1,1,COL.19.3_1,-74.8333,10.25
678,1,1,COL.29.14_1,-74.8255,3.49889
675,1,1,COL.30.20_1,-76.2169,3.83194
676,1,1,COL.5.7_1,-75.5144,10.3997
656,4,2,CRI,-84,10
654,1,1,CRI.2.2_1,-84.0362,9.79317
655,1,2,CRI.5.4_1,-83.5021,10.5414
658,4,7,CUB,-79.5,22
657,1,2,CUB.4.3_1,-82.3642,23.1319
1248,4,2,CYP,33,35
1247,1,1,CYP.2_1,33.6292,34.9167
1246,1,1,CYP.4_1,32.9914,35.1981
1245,1,3,CYP.5_1,32.4167,34.7667
1010,4,15,CZE,15,49.75
1009,1,1,CZE.11.16_1,14.4667,50.0833
950,4,89,DEU,10.5,51.5
941,1,1,DEU.10.2_1,7.21667,51.4833
945,1,15,DEU.14.2_1,12.9167,50.8333
947,1,4,DEU.14.9_1,13,51
943,1,1,DEU.2.10_1,10.85,48.1667
946,1,1,DEU.2.17_1,12.9833,47.85
948,1,1,DEU.2.17_1,13.05,47.6
944,1,5,DEU.2.54_1,11.5833,48.15
949,1,34,DEU.3.1_1,13.4,52.5167
942,1,3,DEU.6.1_1,10,53.55
1369,1,21,DJI.5.3_1,42.59,11.83
982,4,1,DNK,10,56
981,1,1,DNK.1.25_1,12.5833,55.6667
980,1,1,DNK.2.15_1,9.9317,56.0313
684,4,1,DOM,-70.666667,19
850,4,2,DZA,3,28
847,1,3,DZA.12.15_1,3.902,36.3749
842,1,1,DZA.27.7_1,0.229675,35.0997
843,1,1,DZA.35.31_1,0.448772,35.943
844,1,1,DZA.4.26_1,2.84244,36.7117
845,1,1,DZA.4.5_1,3.05056,36.7631
846,1,1,DZA.4.5_1,3.05056,36.7631
849,1,1,DZA.41.8_1,5.52278,22.785
848,1,2,DZA.47.64_1,4.04591,36.7118
841,1,2,DZA.48.52_1,-1.315,34.8783
661,4,4,ECU,-77.5,-2
660,1,3,ECU.19.6_1,-78.5,-0.216667
1231,4,18,EGY,30,27
1224,1,20,EGY.11.12_1,31.25,30.05
1225,1,1,EGY.11.32_1,31.3,30.0667
1222,1,1,EGY.11.36_1,31.238,30.0474
1223,1,1,EGY.11.36_1,31.2395,30.0525
1227,1,3,EGY.2.1_1,33.8181,27.2529
1228,1,1,EGY.2.3_1,34.2779,26.1043
1230,1,8,EGY.2.5_1,34.8829,25.0679
1229,1,7,EGY.22.8_1,34.305,27.8518
1226,1,2,EGY.26.1_1,33.7984,31.1316
1219,1,11,EGY.6.10_1,29.9192,31.1981
1220,1,1,EGY.8.1_1,31.21,30.0429
1221,1,4,EGY.8.13_1,31.2122,30.0086
1368,4,14,ERI,39,15
735,4,2,ESH,-13.5,25
734,4,36,ESP,-4,40
727,1,1,ESP.1.1_1,-1.74901,37.2879
721,1,1,ESP.1.2_1,-6.21667,36.3833
722,1,3,ESP.1.2_1,-5.45051,36.1333
729,1,3,ESP.10.1_1,-0.136386,38.5392
728,1,3,ESP.10.3_1,-0.783333,39.4167
733,1,1,ESP.13.1_1,2.65522,39.5743
720,1,1,ESP.14.1_1,-15.5,28
731,1,1,ESP.6.1_1,1.85981,41.24
732,1,8,ESP.6.1_1,2.18333,41.3833
730,1,1,ESP.6.4_1,1.05244,41.0748
723,1,1,ESP.7.1_1,-5.31925,35.8887
726,1,1,ESP.7.2_1,-2.94307,35.2839
724,1,3,ESP.8.1_1,-3.94597,40.7362
725,1,4,ESP.8.1_1,-3.68333,40.4
1139,4,3,EST,26,59
1367,4,5,ETH,38,8
1360,1,4,ETH.1.1_1,38.7,9.03333
1362,1,2,ETH.11.1_1,39.5,13.5
1363,1,1,ETH.3.11_1,39.6833,11.8333
1364,1,13,ETH.3.11_1,39.7333,11.8667
1365,1,2,ETH.5.1_1,41.8661,9.59306
1359,1,1,ETH.8.12_1,37.25,9.1
1361,1,1,ETH.8.5_1,39.0833,6.03333
1366,1,11,ETH.9.3_1,42.8,9.35
1135,4,5,FIN,26,64
1134,1,1,FIN.4.5_1,24.9342,60.1756
1989,1,2,FJI.2.2_1,178.417,-18.1333
1988,1,1,FJI.5.2_1,178,-18
826,4,63,FRA,2,46
